Time,Open_EURUSD_D1,Close_EURUSD_D1,Volume_EURUSD_D1,Difference_EURUSD_D1,Open_EURCAD_D1,Close_EURCAD_D1,Volume_EURCAD_D1,Difference_EURCAD_D1,Open_EURCHF_D1,Close_EURCHF_D1,Volume_EURCHF_D1,Difference_EURCHF_D1,Open_EURGBP_D1,Close_EURGBP_D1,Volume_EURGBP_D1,Difference_EURGBP_D1,Open_EURJPY_D1,Close_EURJPY_D1,Volume_EURJPY_D1,Difference_EURJPY_D1
2007-05-14,1.35378,1.35405,274786,0.00026999999999999247,1.50222,1.49789,271706,-0.004330000000000167,1.6514,1.6504,366451,-0.0009999999999998899,0.6835,0.6842,752464,0.0007000000000000339,162.78,163.13,1357532,0.3499999999999943
2007-05-15,1.35401,1.35917,667008,0.005160000000000053,1.49789,1.49276,254354,-0.005129999999999857,1.6504,1.65135,844127,0.0009500000000000064,0.6842,0.6845,1718306,0.00029999999999996696,163.12,163.42,1447703,0.29999999999998295
2007-05-16,1.35915,1.3527,674245,-0.006450000000000067,1.49283,1.49186,255411,-0.0009700000000001374,1.6513,1.6536,968254,0.0022999999999999687,0.6845,0.6839,1640347,-0.0006000000000000449,163.42,163.45,1440922,0.030000000000001137
2007-05-17,1.3527,1.34915,666123,-0.003549999999999942,1.49184,1.4824,251951,-0.009440000000000115,1.6536,1.656,648772,0.0023999999999999577,0.6839,0.6833,1441910,-0.0005999999999999339,163.45,163.69,1329880,0.2400000000000091
2007-05-18,1.34919,1.35053,509342,0.0013400000000001189,1.48239,1.47015,244608,-0.012240000000000029,1.656,1.6578,841939,0.0018000000000000238,0.6833,0.6836,1550553,0.00029999999999996696,163.69,163.61,1460071,-0.07999999999998408
2007-05-21,1.35123,1.34574,739650,-0.005489999999999995,1.47253,1.46011,264136,-0.012419999999999876,1.65778,1.65545,857250,-0.0023299999999999432,0.68417,0.6825,1505319,-0.0016699999999999493,163.69,163.43,1302552,-0.2599999999999909
2007-05-22,1.34573,1.34497,663467,-0.0007600000000000939,1.46018,1.46222,253485,0.0020400000000000418,1.65545,1.6532,742153,-0.0022500000000000853,0.68255,0.6811,1463750,-0.0014499999999999513,163.43,163.64,1200150,0.20999999999997954
2007-05-23,1.34495,1.34525,667774,0.00029999999999996696,1.46225,1.45678,254243,-0.005470000000000086,1.6532,1.6515,994711,-0.0017000000000000348,0.6811,0.6773,2010731,-0.0038000000000000256,163.64,163.58,1701248,-0.05999999999997385
2007-05-24,1.34522,1.34164,669238,-0.0035800000000001386,1.45675,1.45518,254726,-0.0015700000000000713,1.6515,1.6481,877725,-0.0034000000000000696,0.6773,0.6761,1764768,-0.0011999999999999789,163.58,162.55,1774337,-1.0300000000000011
2007-05-25,1.34164,1.3438,403512,0.002160000000000162,1.45529,1.45141,237319,-0.0038799999999998835,1.6481,1.651,706055,0.0029000000000001247,0.6761,0.6775,1449413,0.0013999999999999568,162.55,163.7,1471770,1.1499999999999773
2007-05-28,1.34465,1.34445,914661,-0.00019999999999997797,1.45056,1.45167,270703,0.0011099999999999444,1.6506,1.6517,499650,0.0010999999999998789,0.6775,0.6781,610319,0.0006000000000000449,163.66,163.63,373071,-0.030000000000001137
2007-05-29,1.34432,1.34415,662003,-0.00017000000000000348,1.45158,1.44308,255896,-0.008500000000000174,1.6517,1.647,987469,-0.0046999999999999265,0.67801,0.67865,1921358,0.0006399999999999739,163.63,163.35,2083110,-0.28000000000000114
2007-05-30,1.34415,1.34287,662049,-0.0012799999999999478,1.44308,1.44242,254859,-0.0006599999999998829,1.647,1.646,778105,-0.001000000000000112,0.67865,0.67955,1895682,0.0009000000000000119,163.35,163.25,2015412,-0.09999999999999432
2007-05-31,1.34293,1.34527,660984,0.0023400000000000087,1.44249,1.43933,255657,-0.0031600000000000517,1.646,1.6484,824211,0.0024000000000001798,0.67955,0.67965,1735485,9.999999999998899e-05,163.26,163.8,1730745,0.5400000000000205
2007-06-01,1.34524,1.34439,403855,-0.0008500000000000174,1.43942,1.4262,243805,-0.01322000000000001,1.6484,1.6536,682708,0.005199999999999871,0.6797,0.6781,1379078,-0.0015999999999999348,163.8,164.14,1575264,0.339999999999975
2007-06-04,1.3441,1.34968,990780,0.005579999999999918,1.42599,1.42807,264802,0.0020799999999998597,1.6532,1.6496,941586,-0.0036000000000000476,0.67794,0.6776,1697102,-0.00034000000000000696,164.05,164.29,1568806,0.23999999999998067
2007-06-05,1.34967,1.35122,663553,0.0015500000000001624,1.42796,1.43512,255251,0.007160000000000055,1.65,1.6468,880003,-0.0031999999999998696,0.6776,0.67805,1756272,0.00045000000000006146,164.3,164.14,2107320,-0.160000000000025
2007-06-06,1.35123,1.34952,660209,-0.0017099999999998783,1.43516,1.42839,255052,-0.006769999999999943,1.6468,1.64215,1008112,-0.004650000000000043,0.67805,0.67735,1770863,-0.0007000000000000339,164.15,163.18,2741455,-0.9699999999999989
2007-06-07,1.34957,1.34205,660494,-0.007519999999999971,1.42843,1.42573,254969,-0.0027000000000001467,1.64215,1.645,881049,0.002850000000000019,0.67735,0.6782,1705604,0.0008500000000000174,163.18,162.59,2583553,-0.5900000000000034
2007-06-08,1.34207,1.33708,504626,-0.00499000000000005,1.42583,1.41804,238131,-0.007789999999999964,1.64495,1.6515,1018175,0.006550000000000056,0.6782,0.6785,2159259,0.00029999999999996696,162.58,162.76,2551152,0.1799999999999784
2007-06-11,1.33671,1.33574,729744,-0.0009700000000001374,1.41777,1.41486,270907,-0.002909999999999968,1.651,1.6537,823890,0.0026999999999999247,0.6784,0.6774,1439259,-0.0010000000000000009,162.76,162.54,1812002,-0.21999999999999886
2007-06-12,1.33577,1.32908,646696,-0.006689999999999863,1.41498,1.418,254453,0.0030200000000000227,1.6537,1.6529,900066,-0.0007999999999999119,0.6774,0.6733,1784087,-0.0040999999999999925,162.54,161.72,2005416,-0.8199999999999932
2007-06-13,1.32914,1.33037,647680,0.0012300000000000644,1.41804,1.41975,254202,0.0017100000000001003,1.6529,1.6559,1193351,0.0029999999999998916,0.6733,0.6743,1879823,0.0010000000000000009,161.72,163.21,2345227,1.490000000000009
